"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","State - Type: Automobiles - Make: All Makes - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | Connecticut, Massachusetts, New York, Pennsylvania, Rhode Island, Vermont | Automobiles | All Makes | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP18466EA930787"
"ColumnCount:",7
"RowCount:",552

"Time","Connecticut, Automobiles, All Makes, All Models, All Vehicle Years, #","Massachusetts, Automobiles, All Makes, All Models, All Vehicle Years, #","New York, Automobiles, All Makes, All Models, All Vehicle Years, #","Pennsylvania, Automobiles, All Makes, All Models, All Vehicle Years, #","Rhode Island, Automobiles, All Makes, All Models, All Vehicle Years, #","Vermont, Automobiles, All Makes, All Models, All Vehicle Years, #"
"01/1975",80,158,414,326,20,22
"02/1975",78,160,418,270,28,16
"03/1975",102,124,440,426,16,16
"04/1975",58,184,346,440,24,8
"05/1975",80,146,482,492,24,22
"06/1975",106,214,444,440,20,24
"07/1975",76,194,500,480,30,18
"08/1975",116,168,564,520,24,38
"09/1975",62,178,476,488,22,30
"10/1975",72,192,576,478,18,24
"11/1975",78,154,530,418,20,34
"12/1975",84,160,476,486,14,40
"01/1976",60,80,378,332,8,14
"02/1976",84,92,368,336,30,14
"03/1976",60,130,382,366,12,22
"04/1976",48,156,378,392,18,8
"05/1976",92,176,526,472,26,18
"06/1976",80,160,440,366,28,28
"07/1976",102,172,554,472,42,22
"08/1976",112,204,512,494,30,40
"09/1976",102,164,528,430,26,32
"10/1976",96,220,518,432,46,24
"11/1976",80,146,426,384,20,12
"12/1976",94,146,534,490,30,32
"01/1977",44,72,364,302,4,22
"02/1977",44,76,386,336,16,12
"03/1977",88,114,390,352,22,20
"04/1977",102,156,396,412,26,2
"05/1977",76,128,420,410,52,20
"06/1977",98,154,518,462,26,26
"07/1977",100,206,602,536,40,46
"08/1977",104,170,686,530,26,14
"09/1977",124,190,474,434,26,16
"10/1977",140,206,558,532,16,36
"11/1977",126,150,552,484,20,40
"12/1977",138,144,482,496,22,22
"01/1978",64,64,308,270,24,20
"02/1978",62,78,178,286,2,10
"03/1978",56,90,506,378,20,14
"04/1978",80,136,460,456,28,12
"05/1978",148,180,468,508,16,24
"06/1978",100,230,620,472,46,36
"07/1978",146,222,610,522,22,20
"08/1978",110,192,640,498,10,32
"09/1978",114,192,566,518,28,32
"10/1978",84,200,608,470,18,26
"11/1978",90,246,480,520,14,32
"12/1978",106,228,600,536,24,18
